Statistic,Country,Top 10 Genre Standard Deviation,Index Value
Income Index,AR,0.097627969,0.955195253
Income Index,AU,0.103156003,0.895577854
Income Index,AT,0.09907569,0.913025275
Income Index,BR,0.091060694,0.741081721
Income Index,CA,0.085434896,0.902301287
Income Index,CL,0.102564456,0.774900602
Income Index,CN,0.140857364,0.679722041
Income Index,FI,0.106774201,0.900482948
Income Index,FR,0.088398383,0.891626595
Income Index,DE,0.103081275,0.906510719
Income Index,IN,0.15133844,0.571966452
Income Index,ID,0.098796348,0.654975037
Income Index,IE,0.131029159,0.889423184
Income Index,IT,0.112292284,0.883269002
Income Index,MY,0.096827113,0.795194135
Income Index,MX,0.096689189,0.752387924
Income Index,NL,0.097199855,0.922937532
Income Index,NO,0.113824417,0.962235915
Income Index,PO,0.083421816,0.79965992
Income Index,PL,0.110957882,0.839914721
Income Index,RU,0.101028601,0.799811582
Income Index,SA,0.092934708,0.925663524
Income Index,SG,0.10012039,0.989491889
Income Index,ZA,0.10180544,0.717926766
Income Index,ES,0.127879771,0.870865159
Income Index,SE,0.110228732,0.915547369
Income Index,CH,0.097819271,0.951575665
Income Index,TH,0.14595127,0.723429617
Income Index,TR,0.120114646,0.766917057
Income Index,AE,0.097246537,0.955195253
Income Index,GB,0.075271722,0.890466535
Income Index,US,0.098618411,0.935823697
Income Index,VN,0.086475285,0.565671552
Education Index,AR,0.097627969,0.783355597
Education Index,AU,0.103156003,0.918815358
Education Index,AT,0.09907569,0.794481027
Education Index,BR,0.091060694,0.662462812
Education Index,CA,0.085434896,0.8503
Education Index,CL,0.102564456,0.740119701
Education Index,CN,0.140857364,0.598555556
Education Index,FI,0.106774201,0.812311111
Education Index,FR,0.088398383,0.807183139
Education Index,DE,0.103081275,0.878844837
Education Index,IN,0.15133844,0.456
Education Index,ID,0.098796348,0.594164162
Education Index,IE,0.131029159,0.887066667
Education Index,IT,0.112292284,0.783950244
Education Index,MY,0.096827113,0.670544444
Education Index,MX,0.096689189,0.63064341
Education Index,NL,0.097199855,0.866459963
Education Index,NO,0.113824417,0.817020173
Education Index,PO,0.083421816,0.907144444
Education Index,PL,0.110957882,0.817020173
Education Index,RU,0.101028601,0.712815073
Education Index,SA,0.092934708,0.779955556
Education Index,SG,0.10012039,0.687850324
Education Index,ZA,0.10180544,0.684514655
Education Index,ES,0.127879771,0.782522678
Education Index,SE,0.110228732,0.832911789
Education Index,CH,0.097819271,0.841311431
Education Index,TH,0.14595127,0.607965284
Education Index,TR,0.120114646,0.624654431
Education Index,AE,0.097246537,0.673214954
Education Index,GB,0.075271722,0.877730929
Education Index,US,0.098618411,0.886981429
Education Index,VN,0.086475285,0.509322222
HDI 2010,AR,0.097627969,0.799
HDI 2010,AU,0.103156003,0.877
HDI 2010,AT,0.09907569,0.926
HDI 2010,BR,0.091060694,0.739
HDI 2010,CA,0.085434896,0.896
HDI 2010,CL,0.102564456,0.808
HDI 2010,CN,0.140857364,0.701
HDI 2010,FI,0.106774201,0.877
HDI 2010,FR,0.088398383,0.879
HDI 2010,DE,0.103081275,0.904
HDI 2010,IN,0.15133844,0.671
HDI 2010,ID,0.098796348,0.899
HDI 2010,IE,0.131029159,0.57
HDI 2010,IT,0.112292284,0.869
HDI 2010,MY,0.096827113,0.766
HDI 2010,MX,0.096689189,0.748
HDI 2010,NL,0.097199855,0.904
HDI 2010,NO,0.113824417,0.939
HDI 2010,PO,0.083421816,0.826
HDI 2010,PL,0.110957882,0.816
HDI 2010,RU,0.101028601,0.773
HDI 2010,SA,0.092934708,0.815
HDI 2010,SG,0.10012039,0.894
HDI 2010,ZA,0.10180544,0.638
HDI 2010,ES,0.127879771,0.864
HDI 2010,SE,0.110228732,0.895
HDI 2010,CH,0.097819271,0.915
HDI 2010,TH,0.14595127,0.715
HDI 2010,TR,0.120114646,0.71
HDI 2010,AE,0.097246537,0.824
HDI 2010,GB,0.075271722,0.908
HDI 2010,US,0.098618411,0.895
HDI 2010,VN,0.086475285,0.629
